quarter	code	bank	outlet-urban	outlet-rural	account-urban	account-rural	account-male	account-female	account-othergender	account-current	account-savings	account-othertype	deposit-urban	deposit-rural	deposit-male	deposit-female	deposit-othergender	deposit-current	deposit-savings	deposit-othertype	lending-urban	lending-rural	lending-male	lending-female	lending-othergender	remittance-urban	remittance-rural
2023-Q2	AB	AB Bank Limited	 50 	 113 	 16,694 	 40,965 	 35,438 	 22,221 	 0 	 2,615 	 43,646 	 11,398 	 463.72 	 1,324.62 	 1,120.81 	 667.53 	 0   	 118.47 	 601.93 	 1,067.94 	 3.21 	 11.59 	 8.23 	 6.57 	 0   	 341.53 	 1,008.65 
2023-Q2	Agrani	Agrani Bank Limited	 36 	 522 	 35,357 	 749,553 	 360,883 	 424,027 	 0 	 23,519 	 712,977 	 48,414 	 13,226.32 	 12,773.59 	 4,741.35 	 21,258.56 	 0   	 353.92 	 9,910.85 	 15,735.14 	 14.00 	 404.44 	 287.26 	 131.18 	 0   	 905.94 	 43,783.24 
2023-Q2	Al-Arafah	Al-Arafah Islami Bank Limited	 86 	 639 	 83,489 	 721,671 	 410,845 	 381,754 	 12,561 	 20,237 	 654,223 	 130,700 	 11,225.14 	 26,363.08 	 26,381.93 	 8,619.62 	 2,586.67 	 483.18 	 15,243.09 	 21,861.95 	 1,178.34 	 4,023.74 	 3,187.73 	 2,014.35 	 0   	 5,116.55 	 63,786.80 
2023-Q2	BankAsia	Bank Asia Limited	 490 	 4,829 	 505,620 	 5,633,494 	 2,174,559 	 3,891,009 	 73,546 	 144,786 	 5,731,590 	 262,738 	 6,771.59 	 36,829.41 	 18,935.15 	 13,443.17 	 11,222.68 	 2,349.52 	 24,346.57 	 16,904.91 	 1,640.00 	 10,144.80 	 3,289.98 	 961.93 	 7,532.89 	 8,615.11 	 115,917.08 
2023-Q2	BRAC	BRAC Bank Limited	 203 	 823 	 77,387 	 232,426 	 121,177 	 62,932 	 125,704 	 139,580 	 123,124 	 47,109 	 3,301.33 	 7,652.16 	 2,889.35 	 1,173.46 	 6,890.68 	 7,296.00 	 1,156.06 	 2,501.43 	 31,420.23 	 51,109.67 	 75,805.50 	 6,724.40 	 0   	 4,382.30 	 14,740.79 
2023-Q2	DBBL	Dutch-Bangla Bank Limited	 1,142 	 4,989 	 1,438,264 	 4,532,794 	 3,575,957 	 2,395,101 	 0 	 71,282 	 5,377,594 	 522,182 	 20,426.74 	 34,326.38 	 31,443.92 	 14,622.20 	 8,687.00 	 1,621.81 	 35,132.28 	 17,999.03 	 1,625.96 	 5,054.82 	 4,725.59 	 1,955.19 	 0   	 56,296.44 	 273,260.53 
2023-Q2	EBL	Eastern Bank Limited	 16 	 56 	 8,524 	 31,431 	 26,806 	 13,149 	 0 	 3,127 	 29,373 	 7,455 	 400.63 	 1,303.65 	 1,336.73 	 367.55 	 0   	 337.38 	 681.46 	 685.44 	 156.33 	 273.15 	 399.11 	 30.37 	 0   	 19.26 	 62.77 
2023-Q2	Exim	Exim Bank Limited	 4 	 8 	 1,837 	 3,606 	 3,336 	 2,107 	 0 	 116 	 4,022 	 1,305 	 241.95 	 91.93 	 286.63 	 47.25 	 0   	 9.93 	 62.79 	 261.16 	 0   	 0   	 0   	 0   	 0   	 0.51 	 12.92 
2023-Q2	FSIBL	First Security Islami Bank Limited	 7 	 83 	 1,615 	 91,176 	 48,943 	 43,848 	 0 	 3,596 	 73,095 	 16,100 	 173.55 	 3,010.91 	 2,319.54 	 864.92 	 0   	 47.97 	 1,183.25 	 1,953.24 	 0   	 33.44 	 29.78 	 3.66 	 0   	 7.67 	 1,135.77 
2023-Q2	GlobalIslami	Global Islami Bank Limited	 7 	 8 	 832 	 829 	 1,034 	 622 	 5 	 119 	 1,088 	 454 	 25.94 	 29.83 	 19.98 	 31.49 	 4.30 	 9.56 	 14.37 	 31.84 	 0   	 0   	 0   	 0   	 0   	 4.18 	 7.63 
2023-Q2	IBBL	Islami Bank Bangladesh Limited	 180 	 2,516 	 259,066 	 3,656,023 	 2,224,274 	 1,690,815 	 0 	 89,252 	 2,248,652 	 1,577,185 	 10,375.43 	 112,696.74 	 74,883.18 	 48,188.99 	 0   	 4,940.65 	 54,562.56 	 63,568.96 	 373.15 	 5,006.57 	 3,412.56 	 1,967.16 	 0   	 37,319.42 	 640,573.60 
